StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USC00421008,724756-23159,7.078518185936688,95.90000000000008,37.641,-112.1702,2404.9,UT,BRYCE CANYON NP HQRS,-7,19590601-20190903, 93.0%,61.0,61.0,91.9,61.0,93.5,61.0,BSk
USC00120922,724370-93823,16.541274298114537,32.0,39.5108,-87.1241,207.0,IN,BRAZIL,-5,19480701-20240401, 93.8%,61.0,61.0,79.7,62.0,80.1,61.0,Dfa
USC00411646,722636-93042,40.85850383009889,58.79999999999996,35.6869,-102.3341,1158.2,TX,CHANNING,-6,19410101-20220711, 89.2%,61.0,61.0,76.2,60.0,78.8,59.0,BSk
USC00346944,723546-13969,44.00564835455433,0.8000000000000114,36.4075,-96.8144,304.8,OK,PAWNEE 5 N,-6,19471001-20240417, 94.1%,60.0,60.0,79.3,60.0,85.4,60.0,Cfa
USC00131060,999999-14931,0.6589136731475511,3.6999999999999886,40.7747,-91.1165,210.3,IA,BURLINGTON 2S,-6,19641216-20240406, 82.7%,60.0,60.0,100.0,60.0,100.0,59.0,Dfa
USC00048680,724917-23233,33.68013369435219,1.3999999999999986,36.8975,-121.8347,24.4,CA,SUNSET STATE BEACH,-8,19561120-20240331, 88.3%,60.0,60.0,88.7,60.0,88.4,59.0,Csb
USC00146498,724565-13920,33.61150172883794,9.0,38.6449,-95.566,324.0,KS,POMONA LAKE,-6,19630708-20240301, 88.2%,59.0,59.0,93.2,59.0,95.8,59.0,Dfa
USC00142980,724515-23064,11.449563160390436,3.899999999999977,37.993,-100.8121,880.9,KS,GARDEN CITY EXP STA,-6,19480801-20240402, 92.1%,59.0,59.0,80.1,59.0,86.6,59.0,BSk
USC00349629,723525-93986,41.300559861828575,34.5,34.7325,-98.7125,507.5,OK,WICHITA MOUNTAIN WLR,-6,19471001-20240401, 90.2%,59.0,59.0,75.2,59.0,81.4,59.0,Cfa
USC00158824,746716-93808,31.398068048171268,24.90000000000001,37.1852,-86.6335,134.1,KY,WOODBURY,-6,19480801-20240415, 89.5%,59.0,59.0,73.6,60.0,79.3,59.0,Cfa
USC00419417,722560-13959,1.1178309089526817,0.0999999999999943,31.6003,-97.2169,150.9,TX,WACO DAM,-6,19650224-20230927, 82.9%,59.0,59.0,100.0,59.0,100.0,58.0,Cfa
